HWT
timestamp,GHI,DHI,Aussentemperatur ,Solarthermie_Erzeugung,Bedarf_thermisch ,Strompreis,PV_Erzeugung,Bedarf_elektrisch
2019-04-01 06:00:00,10,10,7.1,0,31005.681696954,0.0481,22.1017315039928,8912.31022561478
2019-04-01 06:05:00,15,15,7.175,0,31008.2072284441,0.0490808333333333,55.7221556083634,9040.03152428121
2019-04-01 06:10:00,20,20,7.25,0,31010.7327599343,0.0500616666666667,90.5553654451734,9167.75282294765
2019-04-01 06:15:00,25,25,7.325,0,30968.3441631771,0.0510425,126.291359280883,9295.47412161408
2019-04-01 06:20:00,30,30,7.4,0,30925.9555664199,0.0520233333333333,162.716393142266,9396.22762673437
2019-04-01 06:25:00,35,35,7.475,0,30703.3044216732,0.0530041666666667,199.674868073255,9496.98113185466
2019-04-01 06:30:00,40,40,7.55,0,30480.6532769265,0.053985,237.049797188568,9597.73463697495
2019-04-01 06:35:00,45,45,7.625,0,30246.8140067254,0.0549658333333333,274.751185209488,9767.55037017585
2019-04-01 06:40:00,50,50,7.7,0,30012.9747365242,0.0559466666666667,312.708541951733,9937.36610337676
2019-04-01 06:45:00,55,55,7.775,0,29363.1194722045,0.0569275,350.865807511829,10107.1818365777
2019-04-01 06:50:00,60,60,7.85,0,28713.2642078847,0.0579083333333333,389.177799723414,10480.2482264336
2019-04-01 06:55:00,65,65,7.925,0,28170.9106469912,0.0588891666666667,427.607658316518,10853.3146162895
2019-04-01 07:00:00,70,70,8,0,27628.5570860978,0.05987,466.12497026379,11226.3810061454
2019-04-01 07:05:00,76.8333333333333,76.75,8.19166666666667,0,27364.9152277115,0.059525,521.293826344105,11133.2615348808
2019-04-01 07:10:00,83.6666666666667,83.5,8.38333333333333,0,27101.2733693252,0.05918,576.659046553666,11040.1420636163
2019-04-01 07:15:00,90.5,90.25,8.575,0,26732.2934396734,0.058835,632.171472722252,10947.0225923518
2019-04-01 07:20:00,97.3333333333333,97,8.76666666666667,0,26363.3135100216,0.05849,687.788971655959,10908.2794399905
2019-04-01 07:25:00,104.166666666667,103.75,8.95833333333333,0,25997.9067672014,0.058145,743.475081046949,10869.5362876292
2019-04-01 07:30:00,111,110.5,9.15,0,25632.5000243813,0.0578,799.197963482901,10830.793135268
2019-04-01 07:35:00,117.833333333333,117.25,9.34166666666667,0,25417.1877026594,0.057455,854.929590387245,10802.4351458822
